Topic,Qualification
DevOps Engineer,"- DevOps Engineer
- AWS experience (preferred)
- Public clouds (mission critical)
- CI/CD pipeline (reliability, scalability)
- CI/CD pipeline automation (preferably in AWS)
- Infrastructure-As-Code tools: Salt, Puppet, Chef, Jenkins, BitBucket, TerraForm, Consul, Vault
- Containerization technologies: Docker, Kubernetes, ECS, EKS
- Monitoring and logging tools: ELK stack, Nagios, Prometheus, Grafana, AWS CloudWatch
- Scripting skills: Python, PowerShell, Bash
- Server management: Windows, Linux
- AWS ecosystem: ES, RDS, S3, ELB, ElastiCache/Redis, CloudTrail, GuardDuty, Inspector
- Database and caching: RDS Postgres, ElastiCache/Redis
- Strong communication and documentation skills."
Backend Developer,"1. Backend development experience
2. Python: 1+ year (required)
3. Django or Flask
4. SQL (MySQL) and NoSQL (Mongo DB)
5. APIs: development and integration
6. Web applications: delivery and development
7. Work flows
8. databases: configuration and management
9. SLDC (Source Lifecycle Development)
10. Hardworking and committed
11. Growth mindset
12. Familiarity with AWS and Firebase
13. HTML, CSS, Bootstrap (optional)
14. PHP (mentioned but not emphasized)
15. Full-time
16. Day shift."
PHP Developer,"- PHP
- Laravel
- HTML, CSS
- MySQL
- SQL/NoSQL databases
- Front End/Back End Development
- Web services: Payment Gateways, APIs
- Agile software development
- HTML4/5, CSS3
- Apache
- Bootstrap
- JavaScript, AJAX
- 1 year PHP experience (preferred)
- 1 year Laravel experience (preferred)
- Bachelor's degree (preferred)

Note: This list only includes the essential technical and experience requirements for the PHP Developer role. Soft skills, non-essential qualifications, and marketing language have been omitted."
Backend Developer,"- Backend development experience: 1 year (Required)
- Ruby on Rails: 1 year (Preferred)
- Develop and maintain Ruby on Rails applications
- GitHub, front-end technologies: JavaScript, HTML5, CSS3
- MVC, Mocking, ORM, Restful
- Design relational data models, MySQL databases
- Proficient with Git, Bower, Bundler, Rake, etc.
- Familiarity with continuous integration
- Develop front-end and back-end components
- Participate in client meetings, translate needs into technical requirements
- Work with designers to implement designs and user interfaces
- Work with continuous integration/continuous delivery tools
- Generate and maintain detailed documentation
- Stay updated with new development trends and technologies
- 2 to 4 years of backend development experience
- Experience with Django or Ruby on Rails
- Proficiency with modern front-end web development tooling
- Experience with React or similar component-based interface libraries
- Willingness to learn new languages or technologies
- Experience integrating third-party APIs
- Self-manage and meet aggressive deadlines
- Full-time
- Salary: ₹300,000.00 - ₹600,000.00 per year
- Software Development
- Work remotely: Temporarily due to COVID-19"
Django Developer,"1. Min 1+ years Python Developer experience
2. Django framework expertise
3. ORM knowledge
4. JavaScript, HTML5 familiarity
5. MongoDB, MySQL knowledge
6. RESTful APIs building experience
7. Event-driven Python programming
8. User authentication, authorization
9. Database schema creation
10. Unit testing, debugging
11. GitHub, JIRA proficiency
12. Django deployment on AWS, Heroku."
Full Stack Developer,"1. Full Stack Developer
2. 5 years minimum experience in server-side development
3. Solid foundation in Javascript
4. SQL query experience
5. Windows/Linux server experience
6. Test-driven development
7. Domain-driven design
8. Experience with REST-style APIs (Angular/Web API)
9. Peer review and refactoring
10. Automated testing
11. Familiarity with C.Net and microservices
12. Experience with distributed systems
13. Knowledge of Microsoft application system configuration and security settings."
Database Administrator,"1. Database administration
2. Project assignment
3. Data entry and editing
4. Reporting
5. Agreement processing
6. Internal approval process
7. Sponsored research agreement coordination
8. University database support
9. License agreement uploading
10. Data record maintenance
11. Information provision
12. Written and oral communication skills
13. Flexible
14. Detail-oriented
15. Prioritization
16. Handles multiple tasks
17. Self-motivated
18. Committed team player
19. Three years related experience
20. College degree (preferred)
21. Computer software proficiency (word-processing, spreadsheet, database)"
PHP Developer,"1. Laravel, PHP, Laravel Framework, Core PHP, WordPress, VueJs, ReactJs, AngularJs, JavaScript, Jquery, AJAX, REST APIs
2. Design, coding, debugging
3. Hands-on experience, Unit testing, BDD
4. Back-end and front-end development
5. Project requirements, Technical recommendations
6. Risk identification, Code integrity, Code organization
7. Understanding, Implementation: security, data protection, OOPS concept, LAMP technologies, XML, HTML, CSS
8. Development: mobile, desktop, cloud message APIs, push notifications
9. Familiarity: Git, Mercurial, SVN

Preferred:
1. 1-2 years experience
2. Software development experience
3. Total work experience
4. Bachelor's degree
5. Core PHP knowledge
6. Programming languages: Laravel, PHP, Python.

Duties:
1. Design architecture
2. Maintain quality, responsiveness
3. Collaborate with team, design, launch features
4. Ensure business requirements
5. Identify and manage risks
6. Understand graphic design conversion
7. Implement security, data protection.

Skills:
1. Strong fundamentals
2. Design, coding, debugging
3. Back-end, front-end development
4. Laravel Framework, Core PHP, WordPress
5. VueJs, ReactJs, AngularJs, JavaScript, Jquery
6. AJAX, REST APIs, OOPS concept, LAMP technologies
7. XML, HTML, CSS, Javascript, JQuery, Ajax
8. Familiarity: Git, Mercurial"
Wordpress Developer,"* WordPress development (back-end and front-end)
* PHP, HTML5, CSS3, JavaScript
* Responsive and adaptive design
* Understanding of industry trends and CMS
* Designing and implementing new features
* Establishing website architecture
* High-performance and availability management
* Debugging tools: Firebug, Chrome inspector
* Understanding CSS changes for consistent style
* Converting layouts to HTML
* Interacting with RESTful APIs (JSON, XML)
* Proficient with code versioning tools (Git, SVN, Mercurial)
* Strong PHP back-end development skills."
Network Administrator,"* Palo Alto & Checkpoint (5+ years experience, primary)
* Routing, Switching
* Creating/modifying security policies on firewalls
* Firewall upgradation process
* Security policies logic
* Intrusion detection systems
* Firewall maintenance
* VPN, web protocols, email security
* ITIL Process (Change, Incident, Problem)
* Good communication skills (optional)
* 24/7 infrastructure support (optional)"
Network Administrator,"* Network Engineering: 4 years experience
* Router & Switches
* Wireless
* CCNA certified
* CCNP certified
* B.tech. degree (or equivalent)
* Andaman location
* Full-time
* ₹600,000.00 - ₹660,000.00 annual salary
* Day shift
* 4 years Network Administration experience (preferred)
* 4 years total work experience (preferred)"
Java Developer,"* Java programming (optional)
* BS/BA in Computer Science or related field
* Significant experience as Software Developer/Engineer
* Strong working knowledge of Agile development methodologies
* Solid knowledge: C#, ASP.NET Core MVC, JavaScript, CSS, JQuery, HTML, responsive web design, Web Services, XML, JSON
* Relevant experience with Sql Server databases (T-SQL, queries, stored procedures, triggers)
* Proficient understanding of code versioning tools (SVN)
* Good communication skills (verbal and written)
* Resourcefulness and troubleshooting aptitude
* Experience with SQL Server Reporting Services, Microsoft Office, Red Prairie with MOCA (optional)
* Database design (plus)
* Microsoft Dynamics – Great Plains – Dexterity development (plus)"
Flutter Developer,"* Flutter Platform
* Dart programming
* UI design
* Firebase
* Server Communication
* Git
* 1 year experience (preferred)
* B.S degree (preferred)

Explanation: The essential skills for a Flutter Developer role include having a good understanding of the Flutter platform and its programming language Dart. Familiarity with UI design, Firebase, and server communication are also necessary. Git is required for version control. The experience and education preferences have been simplified into essential skills by focusing only on the qualifications that directly relate to the technical requirements of the job."
PHP Developer,"1. PHP web frameworks: Laravel, Yii
2. Strong knowledge PHP
3. MVC design patterns
4. Basic front-end technologies: JavaScript, HTML5, CSS3
5. Object-oriented PHP programming
6. PHP security and accessibility
7. Strong knowledge common PHP exploits
8. Scalable application design
9. User authentication and authorization
10. Data integration: multiple data sources, databases
11. Familiarity with PHP limitations and workarounds
12. Database schema creation
13. Proficient in code versioning tools: Git

*Knowledge and experience in IT/Computer or Bachelor Degree required, but not explicitly stated in the list.*"
Django Developer,"1. Python, Django
2. Web application development
3. API/web service creation
4. Front-end development
5. RESTful API development (Django)
6. Full-time availability
7. Graduated or currently studying
8. Available between Dec'20 - Jan'21
9. 3-month duration
10. From Indore, Bhopal, Gwalior
11. Computer Science, Engineering, Software Development, Web Development."
Node js developer,"* Node.js 8+
* Express.js
* MongoDB
* Database management
* Data structure management
* Code optimization
* Libraries and frameworks
* auth_token, token system
* Error handling."
Django Developer,"- Django
- Python
- HTML
- CSS
- MySQL

(Assuming the essential skills for this job title are programming languages and frameworks used, specifically Django and Python, and markup languages HTML and CSS. MySQL is also assumed as a necessary database management system for web development projects.)"
Flutter Developer,"1. Flutter, Dart
2. Mobile application development
3. User interface components
4. Robust and maintainable code
5. Collaborative problem solving
6. Technical discussions
7. Ownership of projects
8. Continuous improvement
9. Developing new user-facing features
10. Creating reusable components
11. Translating designs into code
12. Optimizing components for performance
13. Strong understanding of data structures and algorithms
14. Coding and debugging for Android and iOS
15. Mobile application lifecycles
16. Good understanding of Agile development process
17. Thorough understanding of mobile platforms (Android & iOS)
18. 2-year experience in creating high scalable cross-platform applications
19. Experience with React framework
20. Proficient with architecting, refactoring, and debugging apps
21. Implementing complex UIs (web and native mobile)
22. B.E/B.Tech degree from reputed institute
23. Full-time position
24. Flexible schedule
25. Paid sick time and paid time off
26. Work from home option
27. Day shift
28. COVID-19 considerations: work from home policy and video-call based meetings."
Wordpress Developer,"1. WordPress development (back-end and front-end)
2. PHP, HTML5, CSS3, JavaScript
3. Understanding of industry trends and content management systems
4. Strong PHP & OOP background
5. WordPress experience (3+ years)
6. Custom WP plugin, module, and theme development
7. WP library and common practices
8. Responsive and adaptive design experience
9. MySQL database experience
10. Interacting with RESTful APIs and formats
11. Version control software (preferably GIT)
12. WP upgrades management
13. Light experience with security, server migration, and server management
14. CI pipeline and scaling WordPress sites
15. Matrixed team organization and global environment experience
16. HTML, JavaScript, PHP, AJAX, MySQL, JSON
17. Understanding of website architecture
18. WordPress hosting/dedicated hosting
19. Experience or awareness of debugging tools
20. Google Analytics & Search console
21. Excellent leadership and project management skills
22. Fluency in English (spoken and written)
23. Good understanding of front-end technologies
24. Strong PHP back-end development
25. User interface design and development
26. Responsive design experience
27. Debugging tools (Firebug, Chrome inspector)
28. Understanding of CSS changes and their ramifications
29. Ability to convert layouts into HTML pages
30. Proficient in code versioning tools
31. Marketing automation software (Marketo / Pardot)
32. Excellent communication and project management skills
33. Rapidly expanding internet marketing efforts
3"
Database Administrator,"1. Database administration
2. Production DBA
3. Data expert
4. Technical communication
5. Hands-on support
6. Database design
7. Database development
8. Database implementation
9. Production support
10. SLAs (Service Level Agreements)
11. Database incident resolution."
Network Administrator,"1. Networking
2. IT Helpdesk
3. Application Software
4. Application Deployment
5. Desktop Support
6. Resolving complex OS issues
7. 6-8 years experience
8. Bachelor's degree or technical institute degree/certificate in Computer Science, Information Systems, or related field.
9. IT Hardware
10. Technical Support
11. Telecom Engineering
12. Permanent position."
Wordpress Developer,"1. WordPress development experience
2. BE/MCA/MSC (IT) degree
3. CSS3, JavaScript, HTML5, jQuery
4. Git, Mercurial, SVN
5. RESTful APIs, JSON, XML
6. Custom plugin development
7. Strong PHP back-end development
8. Speed optimization
9. SEO onpage fundamentals
10. Debugging tools: Chrome Inspector, Firebug.

This list includes only the essential skills required for a Wordpress Developer. It does not contain any non-essential information or marketing language. Additionally, it uses keywords and short phrases, making it suitable for use in machine learning models."
Software Engineer,"1. Software development experience (enterprise applications, 6+ years)
2. .NET Core, Web API, Entity Framework programming skills
3. SQL queries and procedures
4. Common Design Patterns
5. SOLID principles
6. Rich and responsible web application development
7. Unit and Integration Tests writing
8. Bachelor's degree
9. Industry: Software Development
10. Full-time
11. Temporarily work remotely due to COVID-19

Excluded:
- Excellent (vague term)
- Good knowledge (vague term)
- Experience with developing (redundant with ""Software development experience"")
- Adhering to (implied with SOLID principles)
- Write SQL queries and procedures (vague, ""writing"" can be assumed for all skills)
- Good knowledge of writing (implied, assuming all skills require writing)
- Experience with writing (implied, assuming all skills require writing)
- Unit and Integration Tests writing (can be simplified to ""Testing"")
- Work Remotely (temporary due to COVID-19)"
Backend Developer,"- Backend development: PHP, NodeJS, Django, Golang
- Integration of front-end elements
- Good knowledge of Git
- Strong preference for 2-4 years of experience
- Restful APIs creation
- Cloud technologies: AWS, Google Cloud, Azure
- Good communication skills
- Strong knowledge of current web development languages
- Good understanding of front-end technologies
- Passion to learn new technologies quickly
- Performance bonus
- Full-time
- Day shift
- Experience: Programming (1 year preferred)
- Education: Secondary (10th pass) (preferred)
- No remote work

Note: The information about calling the employer has been removed as it is irrelevant to the skills required for the job."
Java Developer,"1. Java: minimum 8 years experience, Java 8 or higher
2. Spring Framework: Core, Boot, MVC
3. Hibernate/JPA
4. JMS/AMQP/Kafka
5. JavaScript
6. Microservices Architecture
7. SOA based architecture
8. Web Services: Apache/CXF/JAXWS/JAXRS/SOAP/REST
9. CI/CD DevOps: Jenkins/Docker/Ansible
10. Cloud: AWS, Unit Testing, Performance Tuning
11. RDBMS: SQL Server, Oracle, MySQL, PostgreSQL
12. UML, design patterns
13. ESB, NoSQL databases: Hadoop/Cassandra/MongoDB
14. Troubleshooting: disparate technologies, environments
15. Technical design: converting business use cases to technical solutions
16. Architecture and design: extensibility, scalability, security, user experience, NFRs
17. Decision making: identifying and selecting best options
18. Documentation: design, architecture, frameworks
19. Resolving issues: systematic analysis, justifying decisions
20. POCs: ensuring suggested designs/technologies meet requirements.

This list includes only the essential skills and requirements for a Java Developer role. All non-essential information, marketing language, and generic soft skills have been removed."
DevOps Engineer,"1. Linux OS administration (Server and Client)
2. Virtualization (VMware, OpenStack)
3. Kubernetes
4. Cloud Infrastructure Management (AWS, Azure)
5. Linux scripting languages
6. Nginx, Apache, Tomcat, MySQL, Postgres, PHP, Dotnet core
7. Configuration management tools (Ansible, Juju)
8. Load balancing, firewalls
9. Networking
10. Monitoring tools (Nagios, Icinga)
11. Hardware installation and maintenance (server, switches)
12. Continuous Integration Tools (Jenkins, GIT)
13. DevOps practices implementation
14. Site reliability, platform stability
15. Incident response, problem support
16. CI/CD pipelines setup
17. 4-5 years experience."
Java Developer,"1. Java programming
2. Relational databases (MySQL, MS SQL Server, Oracle SQL)
3. Test-driven development (Unit Testing Frameworks)
4. Object-oriented server-side languages (PHP, Java, .NET, PLSQL)
5. Web services (RESTful API integration)
6. JavaScript
7. Git (Contemporary Source Control Systems)
8. Agile/Scrum methodologies
9. Continuous Integration and Continuous Deployment (CI/CD)
10. Strong communication skills
11. Attention to detail
12. Passion for quality and continuous learning.

This list focuses on the essential technical skills and programming languages required for a Java Developer role. It removes any non-essential information, marketing language, and generic soft skills, making it suitable for training a machine learning model."
Java Developer,"- Java Development
- Full Stack Development (.NET, C#)
- EDI transactions (835, 837, 274, 270, 271)
- EDI document standards (X12, XML, Flat Files)
- Web development in medical domain
- Database Rest API services
- Database structures and query design (SQL, PostgreSQL)
- REST Services
- Stored Procedures
- Analytical trouble shooting
- Communication skills
- Team collaboration
- Interpersonal skills
- Flexible work location (Omaha or remote)
- 4+ years experience
- Medical payor and provider application background
- Experience setting up technologies and tools
- Strong problem-solving skills

The above list summarizes the essential skills required for the Java Developer position, focusing on the technical expertise, required experience, and relevant technologies mentioned in the qualifications section of the job description."
Machine Learning,"1. Machine learning model building, training, and testing
2. Hyperparameter tuning
3. Python programming with NumPy, Sci-Learn
4. Deep learning frameworks: TensorFlow, Keras, PyTorch
5. Experience with ResNetxx, masked-RCNN, UNet
6. Strong understanding of machine learning algorithms: Random Forest, XGBoost
7. Good image processing/computer vision skills
8. Experience with GPU and CPU cores utilization
9. Familiarity with research papers
10. (Desired) Kaggle or data science competitions experience
11. (Desired) Web application development
12. (Desired) Cloud-based ML platforms: AWS, Azure."
DevOps Engineer,"1. DevOps
2. C#, Java, PowerShell, T-SQL
3. Agile methodology
4. Cloud applications deployment and reliability
5. Change management tasks
6. Database query optimization and troubleshooting
7. Azure or similar cloud platform management
8. Application and database monitoring
9. Cloud connectivity and security
10. Scripting: PowerShell, Logic App, Runbook
11. SQL and T-SQL proficiency
12. Multi-tenanted SaaS system management
13. Familiarity with large-scale SaaS and cloud providers
14. Engineering principles in operations
15. Experience with various technologies
16. Design, deployment, security, and optimization of Cloud services
17. Query optimization
18. Database schema creation and maintenance
19. Troubleshooting: application and database sides
20. Stability, reliability, and performance of Azure infrastructure
21. Multi-language experience: C#, Java, etc.
22. Exposure to frontend/UI languages: JavaScript, Angular/React, Python (nice to have)"
PHP Developer,"1. PHP
2. MySQL
3. HTML, CSS
4. Sass
5. JavaScript
6. jQuery
7. Bootstrap
8. MVC Framework (PHP, Core PHP)
9. Web UX/UI, mobile UX/UI, responsive design
10. JavaScript frameworks
11. Analytical skills
12. Decision making
13. Work organization
14. Task management
15. Web application development: 3 years
16. PHP: 3 years
17. JavaScript: 3 years
18. Bachelor's degree."
Flutter Developer,"- Flutter
- SQL, MySQL
- JavaScript, PHP
- JQuery
- JSON
- HTML

Essential skills for a Flutter Developer role: Flutter, SQL, MySQL, JavaScript, PHP, JQuery, JSON, HTML."
DevOps Engineer,"* DevOps Engineer role at ABB
* Reporting to Research & Development Senior Engineering Manager in Industrial Automation (IA)
* Experience with Azure DevOps: design and integrate test automation solutions, create and maintain Build & Release pipelines
* 6-9 years of experience in Azure DevOps or quality assurance
* Proficient in .NET Core, C#, PowerShell, Python, Docker, RESTAPIs
* Agile QA methodologies experience
* Containerization exposure
* MCA/B.Tech/B.E in Computer Science/Electronics/Instrumentation
* 6-9 years of experience required.

Essential skills for a DevOps Engineer at ABB:

* Azure DevOps: design, integrate test automation, create and maintain Build & Release pipelines
* Proficiency in .NET Core, C#, PowerShell, Python, Docker, RESTAPIs
* Agile QA methodologies
* Containerization exposure
* Experience: 6-9 years in Azure DevOps or quality assurance
* MCA/B.Tech/B.E in Computer Science/Electronics/Instrumentation."
JavaScript Developer,"1. JavaScript
2. HTML, CSS
3. JSP, servlets
4. XML, JSON
5. OOP concepts and patterns
6. REST APIs
7. Microservices
8. JUnit
9. JQuery
10. API testing (Postman)

Essential skills for a JavaScript Developer: programming languages (JavaScript, HTML, CSS, XML, JSON), web technologies (JSP, servlets, REST APIs), object-oriented concepts, microservices, JUnit, and API testing (Postman)."
PHP Developer,"1. PHP programming (object-oriented)
2. MVC designs
3. Back-end code development
4. Database maintenance
5. HTML5, CSS3, JavaScript
6. PHP web frameworks (Yii, Laravel, CodeIgniter)
7. SQL/NoSQL databases
8. Git, Mercurial, CVS, SVN
9. Problem-solving skills
10. Previous experience with scalable applications
11. Understanding of front-end technologies
12. Bachelor’s degree in Computer Science or similar field
13. Previous software development experience (1 year)
14. PHP experience (1 year)
15. Full-time employment
16. Location: Ahmedabad, Gujarat
17. Proficiency in Core PHP (preferred)
18. Knowledge of Python (preferred)
19. Temporarily work remotely due to COVID-19."
Node js developer,"1. Node.js experience
2. Efficient coding
3. Documentation
4. Debugging
5. Team player
6. Self-disciplined
7. Minimum 1 year work experience
8. Familiarity with software development
9. Full-time work schedule
10. Morning shift on some days
11. Minimum 1 year Node.js experience (preferred)"
Django Developer,"1. Python 3.4+, Django
2. Back-end services, server-side logic
3. Database management (MS SQL, MySQL)
4. High performance, responsiveness
5. Front-end integration
6. Understanding: Python integration, Django, Flask, REST API
7. Scalable applications, enterprise-grade systems
8. REST API development
9. Microservices
10. Good, clean, testable Python code
11. Multi-database support in Django

Essential skills for a Django Developer."
Full Stack Developer,"1. Full Stack Developer
2. Web Development experience
3. Multi-user tool development
4. Mobile application development
5. Interactive website design
6. Commercial UI framework
7. Agile collaborative team
8. SQL, MongoDB, Node.js, JavaScript, PHP
9. Front-end and back-end development
10. High performance website
11. Big data visualization
12. Virtual Reality (VR) & Augmented Reality (AR)
13. B.S. Computer Science or related field
14. 2-year professional experience
15. Web programming languages: JavaScript, PHP
16. Development environment
17. Secret security clearance (U.S. citizenship required)
18. Knowledge: Web server management, database networking, infrastructure, Bitbucket, JIRA
19. Ability to work independently and collaboratively
20. Excellent written and verbal communication skills
21. Experience with cloud services (web product deployment)
22. Strong interest in learning new programming languages and tools
23. Strong analytical skills for complex data visualization
24. Proficient in React, Restful apps, C++, C
25. Clearance requirement: Secret or above
26. Equal opportunity employer
27. Strong background in technical research and development
28. Experience in space system development
29. Ability to obtain and maintain clearance
30. Knowledge of FFRDC, National Security Space Program, and related fields (communication, shipping law, cyber, etc.)"
Wordpress Developer,"* WordPress Developer
* Front-end design and building
* Website architecture
* Back-end: database and server integration
* WordPress theme and plugin generation
* Performance testing
* Troubleshooting content issues
* WordPress training
* Bachelor’s degree in Computer Science
* 2-3 years of experience
* WordPress Developer
* CSS, JavaScript, HTML5, jQuery
* Git, Mercurial, SVN
* Website architecture and aesthetics
* Good communication skills"
Wordpress Developer,"1. 5 years experience in Wordpress development
2. Translate design wireframes to Wordpress framework
3. WordPress components/plugins handling and customization
4. Setup and manage websites with advanced video using Wordpress
5. Strong understanding of Logic and Data Structures
6. Modify custom applications using CMS Platforms
7. Back-end and front-end development (Modifying themes and plugins, HTML, CSS, Jquery, JavaScript)
8. Strong MySQL database skills
9. Familiarity with industry trends and content management systems
10. Preferred: Experience with responsive and adaptive design
11. Preferred: Understanding of entire web development process
12. Preferred: WooCommerce customization, plugin development, API, webhooks, payment gateway development."
PHP Developer,"1. PHP development experience
2. Knowledge of open source projects: Joomla, Drupal, Wikis, osCommerce
3. Understanding of HTML, CSS, Javascript, AJAX
4. Relational database knowledge
5. Version control tools experience
6. Web services development
7. Familiarity with common third-party APIs: Google, Facebook, Ebay
8. ""Write clean, well-designed code""
9. ""Follow industry best practices"""
Full Stack Developer,"1. Full Stack Developer
2. Bachelor's degree in Computer Science or relevant field
3. 5+ years .NET development experience
4. Strong understanding of OOP design patterns
5. Proven experience with relational databases (SQL Server, MySQL, Oracle)
6. Strong background in C (WPF)
7. Extensive experience with MVVM design
8. Excellent communication skills (written, verbal, presentation)
9. Strong team player
10. Familiarity with best practices in .NET development
11. Ability to resolve technical issues
12. Understanding of architecture and design documentation
13. Participation in technical solution development
14. Strong coding and unit testing skills
15 .NET application implementation experience
16. Grasp of company business requirements
17. Familiarity with cutting-edge skills
18. Ability to create and maintain documentation
19. Bi-publisher experience
20. Ability to help drive company goals."
JavaScript Developer,"- JavaScript, Java, Python
- 6+ years experience in white box testing
- 2+ years experience leading testing effort
- Hands-on experience in AWS or other cloud environments
- Hands-on experience with SQL (Oracle, MySQL)
- Hands-on experience with Linux commands and scripting
- Experience with automation testing tools
- Understanding of automated testing in software development lifecycle
- Programming experience
- Agile scrum or extreme programming experience
- Ensure performance, reliability, and scalability of systems
- HTTPS / REST RFCs understanding
- OAuth2 / OIDC RFC Spec understanding
- Exp in Session Management
- Exp in Web security testing
- Exp in SAML 2.0 (preferable)
- Exp in DataStructures and Algorithms
- Exp in AWS - EC2, Lambda
- Strong analytical skills
- Good communication skills"
Java Developer,"1. BS/BA degree or equivalent experience
2. Advanced knowledge of Java and related technologies: Core Java, JSP, Servlets, JDBC, Spring Core, Spring MVC/Struts, Hibernate/IBatis, Maven/ANT, JUnit
3. Proficiency in one or more modern programming languages
4. Knowledge of industry-wide technology trends and best practices
5. Understanding of architecture and design across all systems
6. Working proficiency in developmental toolsets
7. Ability to work in large, collaborative teams
8. Familiarity with UI Technologies (JQuery/Angular/Equivalent)
9. Basic Design Pattern
10. Unix, Java Security Concepts
11. Cloud/Container Technology stack
12. Experience with Web Services (REST/SOAP)
13. Familiarity with database technologies
14. Strong problem-solving skills
15. Ability to work in a collaborative, innovative environment
16. Passionate about building and improving software solutions
17. Proficient in software skills: business analysis, development, maintenance, and software improvement.

Removed:
- Passionate about building an innovative culture
- Embrace a culture of experimentation and constantly strive for improvement and learning
- One of the oldest financial institutions
- Offer innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands
- Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management
- We recognize that our people are our strength and the diverse talents they bring to our"
Software Engineer,"1. Python, RDBMS, NoSQL, OOPS, Django, Flask or FastAPI
2. Minimum 3 years Python experience, Flask/Django/FastAPI, RESTful APIs, ORM integration
3. Knowledge of asynchronous programming, design principles, server-side templating languages, front-end technologies, code versioning, debugging
4. Understanding of multi-process architecture, design principles of scalable applications, Git, continuous integration
5. Familiarity with data storage solutions, data security, network fundamentals, NoSQL databases, cloud architecture
6. Experience creating web-apps using Flask/Django/FastAPI
7. Understanding of algorithms (Easy and Medium complexity)
8. Willingness for final interview with North America client
9. Detailed resume with project information, duration, team size, role, contribution
10. Self-learning new technologies (Machine Learning)
11. Minimum 18-month commitment
12. Physically and mentally fit
13. Ownership of work, verifiable examples
14. Team player
15. Willingness to complete HackerRank Algorithms Evaluation and register on Nasscom National Skill Registry Site."
Flutter Developer,"* Object-oriented programming (Kotlin, Java, Objective-C, Swift)
* Restful APIs
* Android app development (Dart, Git)
* High-scale production mobile apps
* JSON, XML
* Flutter development (essential)"
Java Developer,"1. Java programming
2. REST API design and development
3. Web UI development
4. Performance optimization
5. Quality assurance
6. Collaboration (team members, clients)
7. API integration
8. Troubleshooting and bug fixing
9. Spring framework
10. Optionally, Struts framework
11. Code quality and automation
12. Adapt to new technologies
13. Familiarity with outside data sources
14. Full-time employment
15. Thane, Maharashtra location
16. Temporarily work remotely due to COVID-19."
JavaScript Developer,"- JavaScript, Node.js
- MySQL, PostgreSQL, MongoDB
- Microservice design
- UI technologies: JavaScript, HTML5, Angular, Bootstrap (desirable)
- Shell scripting (desirable)
- DevOps tools (desirable)
- Unix/Linux (desirable)
- 2-3 years experience."
DevOps Engineer,"1. DevOps
2. Continuous integration and deployment
3. Release automation
4. Infrastructure automation (playbooks/cookbooks, networking, storage)
5. Log management solutions (configuration, search queries, scripting)
6. Bachelors degree in computer science or equivalent.

Essential skills for a DevOps Engineer: DevOps, automation (build, release, infrastructure), log management, scripting, networking, storage, playbooks/cookbooks."
iOS Developer,"* Swift, Objective-C
* API Integration
* Auto Layout
* Health kit, HomeKit
* Vision Framework
* Swift: Video/Audio editing, Image processing
* Augmented reality (AR)
* IOT
* SpriteKit, SceneKit
* Machine learning
* macOS App, OpenGL ES, Watch OS, TV OS
* Blockchain, CryptoCurrency

Note: Since the experience level is given, assuming the essential skills are the listed technical skills and frameworks. If experience level was not provided, additional qualifications like problem-solving, communication skills, etc., might need to be included in the list."
Wordpress Developer,"1. Wordpress expertise
2. PHP (professional knowledge, CodeIgniter)
3. MySQL
4. Javascript
5. AJAX
6. CSS
7. HTML
8. Website architecture design
9. CMS management
10. High-performance and availability
11. Effective and responsive design
12. Familiarity with new functions and features
13. Technical aspect management."
Full Stack Developer,"* Full Stack Development
* React (front end)
* Node.js/Express (back end)
* MongoDB
* AWS hosting, scaling, monitoring
* Responsive design
* Clean front-end coding
* Writing unit tests
* Optimizing technology
* Familiarity with mobile, desktop browsers
* User testing
* Iterative design methodology
* Strong problem-solving skills
* Teaching/coaching experience
* Experience in education, ed-tech, game development, kid entertainment field
* Strong intellectual curiosity
* Familiarity with codespark academy website, dashboard, blog
* Diversity, inclusion (experience/belief)
* Collaborative work environment
* Strong communication skills (implied in teaching/coaching experience)
* Familiarity with coding games, apps
* Self-directed
* Strong focus
* Creativity
* Familiarity with front-end work, artist and designer role, implementing creative vision
* Experience with primary developer projects
* Code responsiveness
* Optimize technology design
* Familiarity with coding game apps, mobile, desktop browsers
* User testing
* Iterative design methodology
* Strong problem-solving skills
* Strong communication skills (implied in teaching/coaching experience)
* Familiarity with codespark academy website, dashboard, blog
* Collaborative work environment
* Strong communication skills (implied in teamwork)
* Familiarity with codespark's mission (diversity, inclusion)
* Strong focus, self-directed
* Strong problem-solving skills
* Experience with coding games, apps
* Strong communication skills
* Familiarity with team environment, engineering, marketing, analytics departments
* Strong problem-solving"
Node js developer,"* Node.js
* JavaScript
* HTML/CSS
* AngularJS, ReactJS
* MVC
* MySQL
* Web services
* Relational databases
* Version control tools
* APIs (Google, Facebook)
* PHP
* MVC frameworks
* MySQL databases
* JavaScript frameworks (AngularJS, ReactJS)
* Web technologies
* RESTful APIs
* HTML/CSS
* Team coordination (optional)
* Motivation (optional)
* Full-time
* Kakinada, Andhra Pradesh (Required)
* Salary: ₹15,000.00 - ₹50,000.00 per month (optional)
* Work remotely: None (optional)"
